التصنيف (Category),اسم المنتج (Name),السعر (Price),متاح؟ (Available)
"منتجات منقولة","أصابع الذرة اليابانية ""أوماي بو"" بنكهة التوابل",7.5,"نعم"
"منتجات منقولة","اوماي بو نكهه التوابل",0.25,"نعم"
"منتجات منقولة","اوماي بو نكهه الذره",0.25,"نعم"
"منتجات منقولة","اوماي بو نكهه جبنه",0.25,"نعم"
"منتجات منقولة","بطاطس حلزوني من T-Chips بنكهة الجبنه",1.75,"نعم"
"منتجات منقولة","بوبا 1كيلو",7,"نعم"
"منتجات منقولة","بوبا موتشي شاي",3.5,"نعم"
"منتجات منقولة","بوكس حلوى ميرانق بعده نكهات مختلفه",3.5,"نعم"
"منتجات منقولة","بوكس مارشميلو مستورد",2.5,"نعم"
"منتجات منقولة","بوكي الاوريو",1.5,"نعم"
"منتجات منقولة","تارت التفاح الآسيوي ( حجم كبير)",5.5,"نعم"
"منتجات منقولة","ترند المانجو",5,"نعم"
"منتجات منقولة","تفاح و عسل",1.5,"نعم"
"منتجات منقولة","توبوكي كاربونارا",3.5,"نعم"
"منتجات منقولة","حلوى حامضه",2,"نعم"
"منتجات منقولة","حلوى كوريه بلعسل",4,"نعم"
"منتجات منقولة","حليب الصويا بنكهة الشوكلت",1,"نعم"
"منتجات منقولة","حليب صويا بطعم الذره",1,"نعم"
"منتجات منقولة","حمر جاوي",5,"نعم"
"منتجات منقولة","دبدوب البطريق",6,"نعم"
"منتجات منقولة","دبدوب سبونج بوب",8,"نعم"
"منتجات منقولة","شبس الأندونيسي المقرمش",3,"نعم"
"منتجات منقولة","شبس البطاطا الحلوة",1.5,"نعم"
"منتجات منقولة","شرائح جذر اللوتس الصينيه المقرمشة",2,"نعم"
"منتجات منقولة","شوكلت عدة الطبيب",2,"نعم"
"منتجات منقولة","طحين الأرز",2.5,"نعم"
"منتجات منقولة","عناب مجفف",3,"نعم"
"منتجات منقولة","فان هولتن بيكل ازرق بطعم توت الأزرق الحامض جدا",2.5,"نعم"
"منتجات منقولة","كريب ياباني",2.25,"نعم"
"منتجات منقولة","كعكة الأرز الصينيه",0.75,"نعم"
"منتجات منقولة","لاتيو صيني",2.5,"نعم"
"منتجات منقولة","لافاشك حامض بدبس الرمان",5,"نعم"
"منتجات منقولة","مارشميلو ساندوتش",2.5,"نعم"
"منتجات منقولة","مايونيز ياباني 450مل",7,"نعم"
"منتجات منقولة","مصاصه الترند ( بناتي )",3.25,"نعم"
"منتجات منقولة","مصاصه الترند ( ولادي )",3.25,"نعم"
"منتجات منقولة","معجون وسابي الحار",2.5,"نعم"
"منتجات منقولة","موتشي بوبا ب٤ نكهات مختلفه",5.5,"نعم"
"منتجات منقولة","ميكي ماوس",12,"نعم"
"منتجات منقولة","ورق الأرز",4,"نعم"
"منتجات منقولة","ورق نوري",3.5,"نعم"
"منتجات منقولة","ويفر بحشوة الفراوله",0.25,"نعم"
"نكهات مختلفة 🌈","توفو",2.5,"نعم"
"نكهات مختلفة 🌈","توفو الصيني نكهة الحار",2,"نعم"
"نكهات مختلفة 🌈","توفو الصيني نكهة الحار والحلو",2,"نعم"
"نكهات مختلفة 🌈","توفو صيني بنكهه الشواء",2,"نعم"
"نكهات مختلفة 🌈","شعريه نودلز كوري",0.5,"نعم"
"نكهات مختلفة 🌈","نودلز أودون الطازجة",2.5,"نعم"
"نكهات مختلفة 🌈","نودلز بصلصة الجاجانغ",2.5,"نعم"
"نكهات مختلفة 🌈","نودلز حار",0.8,"نعم"
"نكهات مختلفة 🌈","نودلز فلبيني بنكهة",1.35,"نعم"
"نكهات مختلفة 🌈","نودلز فلبيني بنكهة beef",1.35,"نعم"
"نكهات مختلفة 🌈","هوت بوت خضار",5.5,"نعم"
